------------------------------------------------------------
Initial data. Total amount of items: 250
------------------------------------------------------------
ID        Name                Sunny Days     Avg Temp       
96        City_96             250            18             
97        City_97             250            18             
98        City_98             250            19             
99        City_99             250            20             
100       City_100            250            18             
101       City_101            250            18             
102       City_102            250            18             
103       City_103            250            19             
104       City_104            250            20             
105       City_105            250            18             
106       City_106            250            18             
107       City_107            250            18             
108       City_108            250            19             
109       City_109            250            20             
110       City_110            250            18             
111       City_111            250            18             
112       City_112            250            18             
113       City_113            250            19             
114       City_114            250            20             
115       City_115            250            18             
116       City_116            250            18             
117       City_117            250            18             
118       City_118            250            19             
119       City_119            250            20             
120       City_120            250            18             
121       City_121            250            18             
122       City_122            250            18             
123       City_123            250            19             
124       City_124            250            20             
125       City_125            250            18             
126       City_126            250            18             
127       City_127            250            18             
128       City_128            250            19             
129       City_129            250            20             
130       City_130            250            18             
131       City_131            250            18             
132       City_132            250            18             
133       City_133            250            19             
134       City_134            250            20             
135       City_135            250            18             
136       City_136            250            18             
137       City_137            250            18             
138       City_138            250            19             
139       City_139            250            20             
140       City_140            250            18             
141       City_141            250            18             
142       City_142            250            18             
143       City_143            250            19             
144       City_144            250            20             
145       City_145            250            18             
146       City_146            250            18             
147       City_147            250            18             
148       City_148            250            19             
149       City_149            250            20             
150       City_150            250            18             
151       City_151            250            18             
152       City_152            250            18             
153       City_153            250            19             
154       City_154            250            20             
155       City_155            250            18             
156       City_156            250            18             
157       City_157            250            18             
158       City_158            250            19             
159       City_159            250            20             
160       City_160            250            18             
161       City_161            250            18             
162       City_162            250            18             
163       City_163            250            19             
164       City_164            250            20             
165       City_165            250            18             
166       City_166            250            18             
167       City_167            250            18             
168       City_168            250            19             
169       City_169            250            20             
170       City_170            250            18             
171       City_171            250            18             
172       City_172            250            18             
173       City_173            250            19             
174       City_174            250            20             
175       City_175            250            18             
176       City_176            250            18             
177       City_177            250            18             
178       City_178            250            19             
179       City_179            250            20             
180       City_180            250            18             
181       City_181            250            18             
182       City_182            250            18             
183       City_183            250            19             
184       City_184            250            20             
185       City_185            250            18             
186       City_186            250            18             
187       City_187            250            18             
188       City_188            250            19             
189       City_189            250            20             
190       City_190            250            18             
191       City_191            250            18             
192       City_192            250            18             
193       City_193            250            19             
194       City_194            250            20             
195       City_195            250            18             
196       City_196            250            18             
197       City_197            250            18             
198       City_198            250            19             
199       City_199            250            20             
200       City_200            250            18             
201       City_201            250            18             
202       City_202            250            18             
203       City_203            250            19             
204       City_204            250            20             
205       City_205            250            18             
206       City_206            250            18             
207       City_207            250            18             
208       City_208            250            19             
209       City_209            250            20             
210       City_210            250            18             
211       City_211            250            18             
212       City_212            250            18             
213       City_213            250            19             
214       City_214            250            20             
215       City_215            250            18             
216       City_216            250            18             
217       City_217            250            18             
218       City_218            250            19             
219       City_219            250            20             
220       City_220            250            18             
221       City_221            250            18             
222       City_222            250            18             
223       City_223            250            19             
224       City_224            250            20             
225       City_225            250            18             
226       City_226            250            18             
227       City_227            250            18             
228       City_228            250            19             
229       City_229            250            20             
230       City_230            250            18             
231       City_231            250            18             
232       City_232            250            18             
233       City_233            250            19             
234       City_234            250            20             
235       City_235            250            18             
236       City_236            250            18             
237       City_237            250            18             
238       City_238            250            19             
239       City_239            250            20             
240       City_240            250            18             
241       City_241            250            18             
242       City_242            250            18             
243       City_243            250            19             
244       City_244            250            20             
245       City_245            250            18             
246       City_246            250            18             
247       City_247            250            18             
248       City_248            250            19             
249       City_249            250            20             
250       City_250            250            18             
------------------------------------------------------------
Results after processing. Total amount of items: 250
------------------------------------------------------------
1         City_1              250            18             
2         City_2              250            18             
3         City_3              250            19             
4         City_4              250            20             
5         City_5              250            18             
6         City_6              250            18             
7         City_7              250            18             
9         City_9              250            20             
8         City_8              250            19             
10        City_10             250            18             
11        City_11             250            18             
13        City_13             250            19             
12        City_12             250            18             
14        City_14             250            20             
15        City_15             250            18             
16        City_16             250            18             
17        City_17             250            18             
18        City_18             250            19             
20        City_20             250            18             
19        City_19             250            20             
21        City_21             250            18             
22        City_22             250            18             
23        City_23             250            19             
24        City_24             250            20             
25        City_25             250            18             
26        City_26             250            18             
27        City_27             250            18             
28        City_28             250            19             
29        City_29             250            20             
31        City_31             250            18             
30        City_30             250            18             
32        City_32             250            18             
33        City_33             250            19             
34        City_34             250            20             
35        City_35             250            18             
36        City_36             250            18             
37        City_37             250            18             
38        City_38             250            19             
39        City_39             250            20             
40        City_40             250            18             
41        City_41             250            18             
42        City_42             250            18             
43        City_43             250            19             
44        City_44             250            20             
45        City_45             250            18             
47        City_47             250            18             
46        City_46             250            18             
48        City_48             250            19             
49        City_49             250            20             
50        City_50             250            18             
51        City_51             250            18             
52        City_52             250            18             
53        City_53             250            19             
54        City_54             250            20             
55        City_55             250            18             
56        City_56             250            18             
57        City_57             250            18             
58        City_58             250            19             
60        City_60             250            18             
59        City_59             250            20             
61        City_61             250            18             
62        City_62             250            18             
63        City_63             250            19             
64        City_64             250            20             
65        City_65             250            18             
66        City_66             250            18             
67        City_67             250            18             
68        City_68             250            19             
69        City_69             250            20             
70        City_70             250            18             
71        City_71             250            18             
72        City_72             250            18             
73        City_73             250            19             
74        City_74             250            20             
75        City_75             250            18             
76        City_76             250            18             
78        City_78             250            19             
77        City_77             250            18             
79        City_79             250            20             
80        City_80             250            18             
81        City_81             250            18             
82        City_82             250            18             
83        City_83             250            19             
84        City_84             250            20             
85        City_85             250            18             
86        City_86             250            18             
87        City_87             250            18             
88        City_88             250            19             
89        City_89             250            20             
90        City_90             250            18             
92        City_92             250            18             
91        City_91             250            18             
93        City_93             250            19             
96        City_96             250            18             
95        City_95             250            18             
94        City_94             250            20             
97        City_97             250            18             
99        City_99             250            20             
98        City_98             250            19             
100       City_100            250            18             
101       City_101            250            18             
102       City_102            250            18             
103       City_103            250            19             
104       City_104            250            20             
105       City_105            250            18             
106       City_106            250            18             
107       City_107            250            18             
108       City_108            250            19             
109       City_109            250            20             
110       City_110            250            18             
111       City_111            250            18             
112       City_112            250            18             
113       City_113            250            19             
114       City_114            250            20             
115       City_115            250            18             
116       City_116            250            18             
117       City_117            250            18             
118       City_118            250            19             
119       City_119            250            20             
120       City_120            250            18             
121       City_121            250            18             
122       City_122            250            18             
123       City_123            250            19             
124       City_124            250            20             
125       City_125            250            18             
126       City_126            250            18             
128       City_128            250            19             
127       City_127            250            18             
129       City_129            250            20             
130       City_130            250            18             
131       City_131            250            18             
132       City_132            250            18             
134       City_134            250            20             
135       City_135            250            18             
133       City_133            250            19             
136       City_136            250            18             
138       City_138            250            19             
137       City_137            250            18             
139       City_139            250            20             
140       City_140            250            18             
141       City_141            250            18             
142       City_142            250            18             
144       City_144            250            20             
145       City_145            250            18             
143       City_143            250            19             
146       City_146            250            18             
147       City_147            250            18             
148       City_148            250            19             
150       City_150            250            18             
149       City_149            250            20             
151       City_151            250            18             
153       City_153            250            19             
152       City_152            250            18             
154       City_154            250            20             
155       City_155            250            18             
157       City_157            250            18             
156       City_156            250            18             
158       City_158            250            19             
161       City_161            250            18             
159       City_159            250            20             
162       City_162            250            18             
160       City_160            250            18             
163       City_163            250            19             
165       City_165            250            18             
164       City_164            250            20             
166       City_166            250            18             
167       City_167            250            18             
169       City_169            250            20             
168       City_168            250            19             
170       City_170            250            18             
171       City_171            250            18             
172       City_172            250            18             
174       City_174            250            20             
173       City_173            250            19             
175       City_175            250            18             
176       City_176            250            18             
177       City_177            250            18             
179       City_179            250            20             
178       City_178            250            19             
181       City_181            250            18             
183       City_183            250            19             
180       City_180            250            18             
182       City_182            250            18             
187       City_187            250            18             
184       City_184            250            20             
185       City_185            250            18             
188       City_188            250            19             
186       City_186            250            18             
190       City_190            250            18             
189       City_189            250            20             
192       City_192            250            18             
191       City_191            250            18             
196       City_196            250            18             
195       City_195            250            18             
193       City_193            250            19             
194       City_194            250            20             
197       City_197            250            18             
199       City_199            250            20             
198       City_198            250            19             
200       City_200            250            18             
201       City_201            250            18             
203       City_203            250            19             
204       City_204            250            20             
202       City_202            250            18             
205       City_205            250            18             
207       City_207            250            18             
206       City_206            250            18             
208       City_208            250            19             
209       City_209            250            20             
212       City_212            250            18             
211       City_211            250            18             
210       City_210            250            18             
215       City_215            250            18             
214       City_214            250            20             
213       City_213            250            19             
217       City_217            250            18             
216       City_216            250            18             
219       City_219            250            20             
218       City_218            250            19             
220       City_220            250            18             
221       City_221            250            18             
224       City_224            250            20             
222       City_222            250            18             
225       City_225            250            18             
223       City_223            250            19             
228       City_228            250            19             
227       City_227            250            18             
226       City_226            250            18             
229       City_229            250            20             
231       City_231            250            18             
230       City_230            250            18             
233       City_233            250            19             
232       City_232            250            18             
234       City_234            250            20             
235       City_235            250            18             
236       City_236            250            18             
239       City_239            250            20             
237       City_237            250            18             
238       City_238            250            19             
241       City_241            250            18             
240       City_240            250            18             
243       City_243            250            19             
242       City_242            250            18             
245       City_245            250            18             
244       City_244            250            20             
246       City_246            250            18             
247       City_247            250            18             
248       City_248            250            19             
249       City_249            250            20             
250       City_250            250            18             
